,SRANK,GRANK,OBJECTID,ELSUBID,ELCODE,SNAME,SCOMNAME,SRANK_CHGD,SRANK_RVWD,EO_TRACK,USESA,SPROT,PBSSTATUS,PBSDATE,PBSQUAL,SGCN,SGCN_COM,SENSITV_SP,ER_RULE,MOD_BY,MOD_DATE,CHG_TYPE,CHG_INFO,CHG_SRC,EXPT_DATE,Rounded_GRANK,Rounded_SRANK,temp_taxostatus,GRANK_rounded,SRANK_rounded,rank_score,resp_score,rarity_score
0,S1,G5,3778,14702,PDSAL02240,Salix pedicellaris,Bog Willow,,,Y,,N,PE,,,,,N,EXCLUDE from ER per DCNR 2019-01-02 (P19BOW01).,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.008,0.333333333333
1,S1,G5,3778,14702,PDSAL02240,Salix pedicellaris,Bog Willow,,,Y,,N,PE,,,,,N,EXCLUDE from ER per DCNR 2019-01-02 (P19BOW01).,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.008,0.333333333333
2,S1,G3G5,7384,478722,NBMUS1A1B0,Ptychostomum cernuum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
3,S1,G5,7313,478650,NBMUS3Y050,Isopterygium tenerum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
4,S1,G5,7313,478650,NBMUS3Y050,Isopterygium tenerum,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
5,S1,G5,3130,14044,PDLAM0X070,Lycopus rubellus,Bugleweed,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.018,0.0714285714286
6,S1,G5,3130,14044,PDLAM0X070,Lycopus rubellus,Bugleweed,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.018,0.0714285714286
7,S1,G4G5,4062,15013,PMCYP032J0,Carex careyana,Carey's Sedge,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G4,S1,in biotics,G4,S1,0.7,0.039,0.2
8,S1,G4,7315,478652,NBMUS6Z200,Sphagnum trinitense,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
9,S1,G1G2,4929,15909,PPLYC030A0,Lycopodiella margueriteae,Marguerite's Clubmoss,,,Y,,PE,PE,,,,,N,,sklugman,2/24/2022 11:04:21 AM,SNAME Change,"Changed to taxonomic (subjective) synonym, no concept chage",U22GRU01: Steve Grund and VPTC,28-Feb-22,G1,S1,in biotics,G1,S1,1.0,0.224,0.25
10,S1,G5,4383,15278,PMIRI09150,Iris verna,Dwarf Iris,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.016,0.111111111111
11,S1,G5,4383,15278,PMIRI09150,Iris verna,Dwarf Iris,,,Y,,PE,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.016,0.111111111111
12,S1,G5,7495,478833,NBMUS6Z130,Sphagnum riparium,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
13,S1,G5,7495,478833,NBMUS6Z130,Sphagnum riparium,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G5,S1,,G5,S1,0.6,0.0,
14,S1,GNR,9075,527039,PDASTE6030,Packera sp. 3,Youghiogheny Ragwort,,,W,,,W,1604534400.0,2020-11-05: Apparently undescribed species known so far from a single site (U21GRU05).,,,N,,,,,,,28-Feb-22,GNR,S1,,GNR,S1,0.6,0.0,1.0
15,S1,G4G5,7373,478711,NBMUS7K050,Tortella inclinata,,,,Y,,,,,,,,N,,,,,,,28-Feb-22,G4,S1,,G4,S1,0.7,0.0,
16,S1,G5,3363,14281,PDPGN0K020,Polygonella articulata,Eastern Jointweed,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.333333333333
17,S1,G5,3363,14281,PDPGN0K020,Polygonella articulata,Eastern Jointweed,,,Y,,TU,PE,,,,,N,,,,,,,28-Feb-22,G5,S1,in biotics,G5,S1,0.6,0.0,0.333333333333
