,FQIsyn,symbol,Family,AP,CP,GP,PD,RV,AP,CP,GP,PD,RV,PI,NOTES,ELEMENT SUBNATIONAL ID,ELCODE,SCIENTIFIC NAME,COMMON NAME,G RANK,S RANK,SRANK CHANGE DATE,SRANK REVIEW DATE,TRACKING STATUS,PA FED STATUS,PA STATUS,PBS STATUS,PBS DATE,PBS QUALIFIER,SWG STATUS,SWG COMMENTS,SENSITIVE SPECIES,AQUATIC INDICATOR,ER RULE
"?? Not rated; BONAP doesn't have this in PA, PA flora does. ",#N/A,CUCA2,,,,,,,,,,,,,,13704,PDCUS011S0,Cuscuta campestris,Dodder,G5,S5,7/3/2013,6/28/2013,N,,N,PT,4/4/2009,RPF: 2009-04-04,,,N,,
added; applied species ratings (Solidago rugosa is rated inclusive of varieties),Solidago rugosa var. villosa,SORUV,Asteraceae,x,x,x,x,x,2,2,2,2,2,,,13261,PDAST8P1P6,Solidago rugosa var. villosa,,G5T4T5,SNR,,,N,,,,,,,,N,,
"added; applied species values, our only var",Pellaea glabella var. glabella,PEGLG,Pteridaceae,x,x,x,x,x,9,9,9,9,9,,,15822,PPADI0H065,Pellaea glabella var. glabella,,G5T5,SNR,,,N,,,,,,,,N,,
"added; introduced. Not rated. It is in the ET, and recognized by PA flora. Kartesz calls it Helianthus x laetiflorus and says it is adventive in the East. Weakley calls it H. laetiflorus and also says it is adventive in the east. It doesn’t appear to be listed in the FQI taxonomy. ",Helianthus x laetiflorus,FALSE,Asteraceae,,,,,,,,,,,,,13149,PDAST4N1M0,Helianthus laetiflorus,,GUQ,SNR,,,N,,,,,,,,N,,
"added; species rated inclusive of vars, same values applied",Symphyotrichum lanceolatum ssp. lanceolatum var. interior,SYLAI3,Asteraceae,x,x,x,x,x,2,2,2,2,2,2,,13037,PDASTE8544,Symphyotrichum lanceolatum ssp. lanceolatum var. interior,,G5T5,SNR,,,N,,,,,,,,N,,
"added; species rated inclusive of vars, same values applied",Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum,SYLAL4,Asteraceae,x,x,x,x,x,2,2,2,2,2,2,,13038,PDASTE8546,Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum,,G5T5,SNR,,,N,,,,,,,,N,,
added; species ratings applied,Arabis shortii var. shortii,ARSHS,Brassicaceae,x,x,x,x,x,7,7,7,7,7,7,,13371,PDBRA061W2,Arabis shortii var. shortii,,G5T5,SNR,,,N,,,,,,,,N,,
"added; species ratings applied bc it won't be too far off, BUT - it is unclear what the rating for Cerastium velutinum refers to. In most cases in the FQI list, type varieties are not listed, but the rating of the species applies to the type variety when additional varieties are independently rated. However, as treated in FNA (Kartesz and Weakley appear to agree) Cerastium velutinum var. velutinum has different habitat than var. villosissimum, possibly less conservative. It appears that velutinum var. velutinum was not rated independently. Plus PA flora thinks velutinum var. velutinum is an exotic waif, while Kartesz maps it extensively in the state.",Cerastium velutinum var. velutinum,CEVEV2    ,Caryophyllaceae,,,,,,,,10,,,,,21530,PDCAR06053,Cerastium velutinum var. velutinum,Field Chickweed,G5T4?,S3,2/25/2010,2/25/2010,W,,,SP,10/11/2009,"Special Population, VPTC 2009-10-11",,,N,,
"Can't be rated, each var has own rating",Ranunculus hispidus,RAHIH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14438,PDRAN0L180,Ranunculus hispidus,,G5,SNR,,,N,,,,,,,,N,,
"Can't be rated, one var is considered native but other not.",Physalis pubescens,PHPU7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19109,PDSOL0S0L0,Physalis pubescens,,G5,SNR,10/11/1993,,W,,,SP,10/11/2009,"Special Population, VPTC 2009-10-11",,,N,,
