S RANK,Rounded S RANK
S1,S1
S1S2,S1
S1?,S1
"S1B,S1M","S1B,S1M"
"S1B,S2M","S1B,S2M"
"S1B,S3M","S1B,S3M"
"S1B,S3N,S2M","S1B,S3N,S2M"
"S1B,S3N,S3M","S1B,S3N,S3M"
"S1B,S4M","S1B,S4M"
"S1B,S4N,S3M","S1B,S4N,S3M"
"S1B,S5N,S4M","S1B,S5N,S4M"
S2S3,S2
S2,S2
S1S3,S2
S2?,S2
S2B,S2B
"S2B,S2M","S2B,S2M"
"S2B,S3M","S2B,S3M"
"S2B,S3N","S2B,S3N"
"S2B,S3N,S2M","S2B,S3N,S2M"
"S2B,S4M","S2B,S4M"
"S2B,S4N,S3M","S2B,S4N,S3M"
"S2B,S4N,S4M","S2B,S4N,S4M"
S2M,S2M
S2S3N,S2N
S2N,S2N
"S2N,S4M","S2N,S4M"
S3,S3
S3S4,S3
S3?,S3
S2S4,S3
S3B,S3B
S2S4B,S3B
"S3B,S2M","S3B,S2M"
"S3B,S3M","S3B,S3M"
"S3?B,S3M","S3B,S3M"
"S3B,S3N,S4M","S3B,S3N,S4M"
"S3B,S4M","S3B,S4M"
"S3B,S4N,S3M","S3B,S4N,S3M"
"S3B,S4N,S5M","S3B,S4N,S5M"
"S3B,S5M","S3B,S5M"
"S3B,S5N,S4M","S3B,S5N,S4M"
S3M,S3M
S3N,S3N
"S3N,S3M","S3N,S3M"
"S3N,S4M","S3N,S4M"
"S3N,S5M","S3N,S5M"
S4,S4
S4S5,S4
S4?,S4
S3S5,S4
S4B,S4B
"S4B,S3M","S4B,S3M"
"S4B,S3N","S4B,S3N"
"S4B,S3N,S3M","S4B,S3N,S3M"
"S4B,S3N,S5M","S4B,S3N,S5M"
"S4B,S4M","S4B,S4M"
"S4B,S4N","S4B,S4N"
"S4B,S4N,S3M","S4B,S4N,S3M"
"S4B,S4N,S4M","S4B,S4N,S4M"
"S4B,S4N,S5M","S4B,S4N,S5M"
"S4B,S5M","S4B,S5M"
"S4B,S5N,S4M","S4B,S5N,S4M"
S4M,S4M
S4N,S4N
"S4N,S3M","S4N,S3M"
"S4N,S4M","S4N,S4M"
S5,S5
S5B,S5B
"S5B,S4M","S5B,S4M"
"S5B,S4N,S4M","S5B,S4N,S4M"
"S5B,S5M","S5B,S5M"
"S5B,S5N","S5B,S5N"
"S5B,S5N,S5M","S5B,S5N,S5M"
S5N,S5N
"S5N,S3M","S5N,S3M"
"S5N,S4M","S5N,S4M"
SH,SH
SHB,SHB
SNA,SNA
SNR,SNR
SU,SU
SX,SX
"SXB,S3M","SXB,S3M"
