ELEMENT_SUBNATIONAL_ID,ELCODE,CLASS,TAX_ORDER,FAMILY,GLOBAL_NAME,GLOBAL_COMNAME,PA_NAME,PA_COMNAME,CLASSIFICATION_COM,G_RANK,S_RANK,S_RANK_CHANGE_DATE,S_RANK_REVIEW_DATE,EXOTIC_STATUS,TRACKED,S_EO_TRACKING_COM,PA_FED_STATUS,FED_STATUS_DATE,FED_COMMENTS,PA_STATUS,S_PROTECTION_STATUS_DATE,PBS_STATUS,PBS_DATE,PBS_QUAL,SWG_STATUS,SWG_COM,S_DISTRIBUTION_COM,ORIGIN,REGULARITY,DIST_CONFIDENCE,CURR_PRESENCE_ABSENCE,POPULATION,AQUATIC_INDICATOR
12384,NLCAL33020,Ascomycetes,Caliciales,Coniocybaceae,Chaenotheca chrysocephala,,Chaenotheca chrysocephala,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12385,NLCAL33030,Ascomycetes,Caliciales,Coniocybaceae,Chaenotheca ferruginea,,Chaenotheca ferruginea,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12386,NLCAL33040,Ascomycetes,Caliciales,Coniocybaceae,Chaenotheca furfuracea,Sulphur Stubble Lichen,Chaenotheca furfuracea,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12387,NLCAL46120,Ascomycetes,Caliciales,Caliciaceae,Cyphelium tigillare,,Cyphelium tigillare,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12388,NLLEC0G080,Ascomycetes,Peltigerales,Lobariaceae,Lobaria pulmonaria,Lung Lichen,Lobaria pulmonaria,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12389,NLLEC0G090,Ascomycetes,Peltigerales,Lobariaceae,Lobaria quercizans,Smooth Lungwort,Lobaria quercizans,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12390,NLLEC0T010,Ascomycetes,Lecanorales,Parmeliaceae,Menegazzia terebrata,Port-hole Lichen,Menegazzia terebrata,,,G4?,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12391,NLLEC10020,Ascomycetes,Lecanorales,Parmeliaceae,Anzia colpodes,Black Foam Lichen,Anzia colpodes,,,G3G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12392,NLLEC1C040,Ascomycetes,Peltigerales,Nephromataceae,Nephroma helveticum,Fringed Kidney Lichen,Nephroma helveticum,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12393,NLLEC1N040,Ascomycetes,Lecanorales,Pannariaceae,Pannaria lurida,Wrinkled Shingle Lichen,Pannaria lurida,,,G3G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12394,NLLEC1N090,Ascomycetes,Lecanorales,Pannariaceae,Pannaria rubiginosa,Brown-eyed Shingle Lichen,Pannaria rubiginosa,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12395,NLLEC1U010,Ascomycetes,Peltigerales,Peltigeraceae,Peltigera aphthosa,Common Freckle Pelt,Peltigera aphthosa,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12396,NLLEC1W230,Ascomycetes,Lecanorales,Pertusariaceae,Pertusaria globularis,,Pertusaria globularis,,,GNR,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12397,NLLEC22140,Ascomycetes,Lecanorales,Physciaceae,Buellia dialyta,,Buellia dialyta,,,GNR,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12398,NLLEC22150,Ascomycetes,Lecanorales,Physciaceae,Buellia disciformis,Boreal Button Lichen,Buellia disciformis,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12399,NLLEC250E0,Ascomycetes,Teloschistales,Teloschistaceae,Caloplaca saxicola,Orange Lichen,Caloplaca saxicola,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12400,NLLEC25710,Ascomycetes,Teloschistales,Teloschistaceae,Caloplaca oxfordensis,,Caloplaca oxfordensis,,,GNR,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12401,NLLEC2G250,Ascomycetes,Lecanorales,Physciaceae,Physcia phaea,Black-eyed Rosette Lichen,Physcia phaea,,,G4G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12402,NLLEC2Z030,Ascomycetes,Lecanorales,Psoraceae,Protoblastenia rupestris,Orange Dot Lichen,Protoblastenia rupestris,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12403,NLLEC3B030,Ascomycetes,Peltigerales,Lobariaceae,Pseudocyphellaria aurata,,Pseudocyphellaria aurata,,,G3G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12404,NLLEC3B040,Ascomycetes,Peltigerales,Lobariaceae,Pseudocyphellaria crocata,Yellow Specklebelly,Pseudocyphellaria crocata,,,G4?,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12405,NLLEC3S100,Ascomycetes,Lecanorales,Ramalinaceae,Ramalina farinacea,Dotted Ramalina,Ramalina farinacea,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12406,NLLEC3S150,Ascomycetes,Lecanorales,Ramalinaceae,Ramalina intermedia,Intermediate Cartilage Lichen,Ramalina intermedia,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12407,NLLEC40050,Ascomycetes,Lecanorales,Collemataceae,Collema coccophorum,Tar Jelly Lichen,Collema coccophorum,,,G3G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12408,NLLEC40060,Ascomycetes,Lecanorales,Collemataceae,Collema conglomeratum,,Collema conglomeratum,,,G5?,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12409,NLLEC40330,Ascomycetes,Lecanorales,Collemataceae,Collema tenax,Tar Jelly Lichen,Collema tenax,,,G5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12410,NLLEC40350,Ascomycetes,Lecanorales,Collemataceae,Collema undulatum,Jelly Flakes Lichen,Collema undulatum,,,G5,SNR,,,,N,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
12411,NLLEC40351,Ascomycetes,Lecanorales,Collemataceae,Collema undulatum var. granulosum,Granular Jelly Flakes Lichen,Collema undulatum var. granulosum,,,G5T5,SNR,,,,,,,,,,,,,,,,,Unknown/Undetermined,Regularly occurring,C - Confident,Unknown/Undetermined,,
